"","source_id","source_url","source_title","eissn","issn_print","is_diamond","jjps_status","country"
"196",1415,"https://www.ajol.info/index.php/ijaaar","International Journal of Applied Agriculture and Apiculture Research",NA,"0331-5428",1,"Inactive Title","Nigeria"
"197",1623,"https://www.ajol.info/index.php/ijbair","International Journal of Basic, Applied and Innovative Research","2384-681X","2315-5388",1,"No Stars","Nigeria"
"198",1093,"https://www.ajol.info/index.php/ijbcs","International Journal of Biological and Chemical Sciences","1997-342X","1991-8631",1,"1 Star","Cameroon"
"199",1416,"https://www.ajol.info/index.php/ijcr","International Journal of Community Research","2384-6828","2315-6562",1,"Inactive Title","Nigeria"
"200",1094,"https://www.ajol.info/index.php/ijcrh","International Journal of Current Research in the Humanities","2773-837X",NA,1,"1 Star","Ghana"
"201",1624,"https://www.ajol.info/index.php/ijdmr","International Journal of Development and Management Review","2734-3316","1597-9482",1,"No Stars","Nigeria"
"202",1625,"https://www.ajol.info/index.php/ijer","International Journal of Educational Research","1595-8485",NA,1,"No Stars","Nigeria"
"203",1626,"https://www.ajol.info/index.php/ijeca","International Journal of Energetica","2543-3717",NA,1,"No Stars","Algeria"
"204",1627,"https://www.ajol.info/index.php/ijest","International Journal of Engineering, Science and Technology","2141-2839","2141-2820",1,"No Stars","Nigeria"
"205",1419,"https://www.ajol.info/index.php/ijhr","International Journal of Health Research","1596-9819",NA,1,"Inactive Title","Nigeria"
"206",1420,"https://www.ajol.info/index.php/ijhpr","International Journal of Herbs and Pharmacological Research","2384-6836","2315-537X",1,"Inactive Title","Nigeria"
"207",1269,"https://www.ajol.info/index.php/ijhehar","International Journal of Home Economics, Hospitality and Allied Research","3027-1819","2971-5121",1,"2 Stars","Nigeria"
"208",1270,"https://www.ajol.info/index.php/ijmso","International Journal of Mathematical Sciences and Optimization: Theory and Applications","2814-0230",NA,1,"2 Stars","Nigeria"
"209",1422,"https://www.ajol.info/index.php/ijmbr","International Journal of Medicine and Biomedical Research","2315-5019","2277-0941",1,"Inactive Title","Nigeria"
"210",1271,"https://www.ajol.info/index.php/ijma","International Journal of Modern Anthropology","1737-8176","1737-7374",1,"2 Stars","Tunisia"
"211",1272,"https://www.ajol.info/index.php/ijowited","International Journal of Women in Technical Education and Employment","2734-3227",NA,1,"2 Stars","Nigeria"
"212",1097,"https://www.ajol.info/index.php/ijmu","Internet Journal of Medical Update - EJOURNAL","1694-0423",NA,1,"1 Star","Mauritius"
"213",1628,"https://www.ajol.info/index.php/imcp","Investigational Medicinal Chemistry and Pharmacology","2617-0027","2617-0019",1,"No Stars","Cameroon"
"214",1273,"https://www.ajol.info/index.php/jclfkt","Jarida la Chama cha Lugha na Fasihi ya Kiswahili Tanzania (CHALUFAKITA)","2591-7013","2665-0789",1,"2 Stars","Tanzania"
"215",1274,"https://www.ajol.info/index.php/jaim","Journal Africain d’Imagerie Médicale","2790-9840","1810-4959",1,"2 Stars","Cameroon"
"216",1275,"https://www.ajol.info/index.php/jfmo","Journal de la Faculté de Médecine d’Oran","2602-6511","2571-9874",1,"2 Stars","Algeria"
